[DEBUG] main.cpp:25:main(): expectedPointsAmount = 100
[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.000s | Y: -0.060m | X: 0.003 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.177
[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.210s | Y: -0.060m | X: 0.066 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.120

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.220s | Y: -0.060m | X: 0.069 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.117

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.230s | Y: -0.060m | X: 0.072 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.115

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.240s | Y: -0.060m | X: 0.075 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.112

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.250s | Y: -0.060m | X: 0.078 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.110

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.260s | Y: -0.060m | X: 0.081 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.107

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.270s | Y: -0.060m | X: 0.084 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.105

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.280s | Y: -0.060m | X: 0.087 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.102

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.290s | Y: -0.060m | X: 0.090 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.100

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.300s | Y: -0.060m | X: 0.093 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.098

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.310s | Y: -0.060m | X: 0.096 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.095

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.320s | Y: -0.060m | X: 0.099 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.093

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.330s | Y: -0.060m | X: 0.102 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.091

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.340s | Y: -0.060m | X: 0.105 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.088

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.350s | Y: -0.060m | X: 0.108 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.086

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.360s | Y: -0.060m | X: 0.111 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.084

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.370s | Y: -0.060m | X: 0.114 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.082

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.380s | Y: -0.060m | X: 0.117 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.080

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.390s | Y: -0.060m | X: 0.120 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.078

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.400s | Y: -0.060m | X: 0.123 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.076

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.410s | Y: -0.060m | X: 0.126 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.074

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.420s | Y: -0.060m | X: 0.129 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.073

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.430s | Y: -0.060m | X: 0.132 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.071

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.440s | Y: -0.060m | X: 0.135 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.069

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.450s | Y: -0.060m | X: 0.138 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.068

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.460s | Y: -0.060m | X: 0.141 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.067

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.470s | Y: -0.060m | X: 0.144 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.065

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.480s | Y: -0.060m | X: 0.147 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.064

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.490s | Y: -0.060m | X: 0.150 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.063

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.500s | Y: -0.060m | X: 0.153 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.062

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.510s | Y: -0.060m | X: 0.156 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.062

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.520s | Y: -0.060m | X: 0.159 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.061

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.530s | Y: -0.060m | X: 0.162 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.061

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.540s | Y: -0.060m | X: 0.165 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.060

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.550s | Y: -0.060m | X: 0.168 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.060

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.560s | Y: -0.060m | X: 0.171 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.060

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.570s | Y: -0.060m | X: 0.174 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.060

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.580s | Y: -0.060m | X: 0.177 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.060

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.590s | Y: -0.060m | X: 0.180 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.061

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.600s | Y: -0.060m | X: 0.183 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.061

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.610s | Y: -0.060m | X: 0.186 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.062

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.620s | Y: -0.060m | X: 0.189 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.063

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.630s | Y: -0.060m | X: 0.192 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.064

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.640s | Y: -0.060m | X: 0.195 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.065

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.650s | Y: -0.060m | X: 0.198 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.066

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.660s | Y: -0.060m | X: 0.201 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.068

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.670s | Y: -0.060m | X: 0.204 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.069

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.680s | Y: -0.060m | X: 0.207 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.070

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.690s | Y: -0.060m | X: 0.210 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.072

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.700s | Y: -0.060m | X: 0.213 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.074

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.710s | Y: -0.060m | X: 0.216 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.076

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.720s | Y: -0.060m | X: 0.219 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.077

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.730s | Y: -0.060m | X: 0.222 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.079

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.740s | Y: -0.060m | X: 0.225 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.081

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.750s | Y: -0.060m | X: 0.228 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.083

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.760s | Y: -0.060m | X: 0.231 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.086

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.770s | Y: -0.060m | X: 0.234 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.088

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.780s | Y: -0.060m | X: 0.237 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.090

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.790s | Y: -0.060m | X: 0.240 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.092

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.800s | Y: -0.060m | X: 0.243 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.094

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.810s | Y: -0.060m | X: 0.246 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.097

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.820s | Y: -0.060m | X: 0.249 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.099

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.830s | Y: -0.060m | X: 0.252 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.102

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.840s | Y: -0.060m | X: 0.255 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.104

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.850s | Y: -0.060m | X: 0.258 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.107

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.860s | Y: -0.060m | X: 0.261 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.109

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.870s | Y: -0.060m | X: 0.264 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.112

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.880s | Y: -0.060m | X: 0.267 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.114

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.890s | Y: -0.060m | X: 0.270 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.117

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.900s | Y: -0.060m | X: 0.273 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.119

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.910s | Y: -0.060m | X: 0.276 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.122

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.920s | Y: -0.060m | X: 0.279 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.124

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.930s | Y: -0.060m | X: 0.282 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.127

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.940s | Y: -0.060m | X: 0.285 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.130

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.950s | Y: -0.060m | X: 0.288 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.132

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.960s | Y: -0.060m | X: 0.291 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.135

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.970s | Y: -0.060m | X: 0.294 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.138

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.980s | Y: -0.060m | X: 0.297 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.140

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.990s | Y: -0.060m | X: 0.300 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.143

[DEBUG] physicalModel.cpp:93:calculateModel(): amountPoints = 100
[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.000s | Y: -0.050m | X: 0.303 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.142

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.010s | Y: -0.050m | X: 0.306 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.145

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.020s | Y: -0.050m | X: 0.309 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.148

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.030s | Y: -0.050m | X: 0.312 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.151

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.040s | Y: -0.050m | X: 0.315 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.153

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.050s | Y: -0.050m | X: 0.318 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.156

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.060s | Y: -0.050m | X: 0.321 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.159

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.070s | Y: -0.050m | X: 0.324 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.162

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.080s | Y: -0.050m | X: 0.327 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.165

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.090s | Y: -0.050m | X: 0.330 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.168

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.100s | Y: -0.050m | X: 0.333 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.170

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.110s | Y: -0.050m | X: 0.336 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.173

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.120s | Y: -0.050m | X: 0.339 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.176

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.130s | Y: -0.050m | X: 0.342 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.179

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.140s | Y: -0.050m | X: 0.345 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.182

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.150s | Y: -0.050m | X: 0.348 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.185

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.160s | Y: -0.050m | X: 0.351 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.188

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.170s | Y: -0.050m | X: 0.354 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.191

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.180s | Y: -0.050m | X: 0.357 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.194

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.190s | Y: -0.050m | X: 0.360 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.196

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.200s | Y: -0.050m | X: 0.363 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.199

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.210s | Y: -0.050m | X: 0.366 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.202

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.220s | Y: -0.050m | X: 0.369 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.205

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.230s | Y: -0.050m | X: 0.372 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.208

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.240s | Y: -0.050m | X: 0.375 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.211

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.250s | Y: -0.050m | X: 0.378 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.214

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.260s | Y: -0.050m | X: 0.381 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.217

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.270s | Y: -0.050m | X: 0.384 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.220

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.280s | Y: -0.050m | X: 0.387 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.223

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.290s | Y: -0.050m | X: 0.390 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.226

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.300s | Y: -0.050m | X: 0.393 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.229

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.310s | Y: -0.050m | X: 0.396 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.231

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.320s | Y: -0.050m | X: 0.399 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.234

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.330s | Y: -0.050m | X: 0.402 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.237

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.340s | Y: -0.050m | X: 0.405 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.240

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.350s | Y: -0.050m | X: 0.408 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.243

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.360s | Y: -0.050m | X: 0.411 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.246

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.370s | Y: -0.050m | X: 0.414 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.249

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.380s | Y: -0.050m | X: 0.417 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.252

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.390s | Y: -0.050m | X: 0.420 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.255

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.400s | Y: -0.050m | X: 0.423 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.258

[DEBUG] physicalModel.cpp:87:calculateModel(): Time: 0.410s | Y: -0.050m | X: 0.426 | VY: 0.000 | VX: 0.300 | AY: 0.000 | AX: 0.000 | distance = 0.261

